episode,reward_robot1,reward_robot2,avg_reward
1,-474.4407043457031,-580.6235961914062,-527.5321655273438
2,-691.2781372070312,-420.6752624511719,-555.9766845703125
3,-634.4534912109375,-535.3529052734375,-584.9031982421875
4,-240.9237823486328,-689.308837890625,-465.1163024902344
5,-204.83294677734375,-106.28019714355469,-155.55657958984375
6,-227.8590850830078,-106.73912811279297,-167.29910278320312
7,-251.69961547851562,494.74072265625,121.52055358886719
8,-220.58836364746094,1059.690185546875,419.5509033203125
9,-211.66026306152344,-70.85929870605469,-141.25978088378906
10,-185.6755828857422,335.67413330078125,74.99927520751953
11,-234.5404510498047,-219.00665283203125,-226.7735595703125
12,-280.625732421875,373.1424255371094,46.25834655761719
13,-891.9254760742188,234.3009490966797,-328.812255859375
14,-414.148681640625,1546.1695556640625,566.0104370117188
15,-483.3421630859375,1014.6006469726562,265.6292419433594
16,-190.6774444580078,-134.59457397460938,-162.63601684570312
17,-374.63287353515625,-93.70079803466797,-234.16683959960938
18,-657.9326782226562,474.138427734375,-91.89712524414062
19,281.0677795410156,-260.22540283203125,10.421188354492188
20,-116.44944763183594,-82.06668090820312,-99.25806427001953
21,-471.1178894042969,-143.44802856445312,-307.282958984375
22,906.5621948242188,-94.81478118896484,405.87371826171875
23,405.4920959472656,377.50775146484375,391.49993896484375
24,364.69573974609375,1038.671875,701.683837890625
25,372.2843933105469,373.7436218261719,373.0140075683594
26,1564.479248046875,-89.23889923095703,737.6201782226562
27,397.278076171875,1539.097412109375,968.187744140625
28,-183.32394409179688,1007.8309936523438,412.2535400390625
29,1561.17626953125,1650.6815185546875,1605.928955078125
30,1574.654541015625,413.5969543457031,994.125732421875
31,1012.824951171875,530.443359375,771.6341552734375
32,2065.021484375,2103.943359375,2084.482421875
33,1563.5087890625,2733.552490234375,2148.53076171875
34,1562.009765625,2759.578125,2160.7939453125
35,821.1978149414062,2569.2353515625,1695.216552734375
36,1045.0777587890625,2739.514892578125,1892.29638671875
37,1004.1696166992188,2209.819091796875,1606.994384765625
38,491.0035095214844,842.7021484375,666.8528442382812
39,374.07647705078125,889.6178588867188,631.84716796875
40,997.2162475585938,2213.059814453125,1605.1380615234375
41,1005.9564208984375,3273.649169921875,2139.802734375
42,1548.191162109375,1560.6142578125,1554.4027099609375
43,1008.1764526367188,2191.131103515625,1599.65380859375
44,1545.70849609375,3842.695068359375,2694.20166015625
45,1543.1976318359375,3830.660888671875,2686.92919921875
46,271.7952880859375,3094.623046875,1683.209228515625
47,386.15045166015625,3218.677490234375,1802.4139404296875
48,1552.3265380859375,3324.016845703125,2438.171630859375
49,935.377685546875,3173.19091796875,2054.2841796875
50,345.14013671875,3301.9990234375,1823.569580078125
51,993.4443359375,3324.3515625,2158.89794921875
52,987.876708984375,3309.120849609375,2148.498779296875
53,244.47482299804688,3829.600830078125,2037.037841796875
54,335.73095703125,3829.972900390625,2082.85205078125
55,1540.77880859375,3832.64599609375,2686.71240234375
56,283.1484680175781,3119.780029296875,1701.4642333984375
57,1559.4326171875,3309.329345703125,2434.380859375
58,158.28707885742188,3828.744873046875,1993.5159912109375
59,1028.48974609375,3286.3662109375,2157.427978515625
60,467.6295166015625,3271.095947265625,1869.36279296875
61,308.13262939453125,2723.846923828125,1515.98974609375
62,1056.659912109375,1510.81494140625,1283.7374267578125
63,2114.20751953125,2662.80615234375,2388.5068359375
64,2115.955322265625,2766.6943359375,2441.32470703125
65,2130.380859375,3729.322021484375,2929.8515625
66,1587.146728515625,3291.191650390625,2439.169189453125
67,1015.7692260742188,3306.98193359375,2161.37548828125
68,669.85205078125,2581.01611328125,1625.43408203125
69,1231.499755859375,2557.08251953125,1894.2911376953125
70,1227.2579345703125,1841.1995849609375,1534.228759765625
71,1583.913330078125,2758.6806640625,2171.296875
72,3273.69921875,3233.96337890625,3253.831298828125
73,1422.8843994140625,3210.914306640625,2316.8994140625
74,3720.505615234375,3829.1201171875,3774.81298828125
75,3838.51171875,3839.537109375,3839.0244140625
76,2918.601318359375,1864.4835205078125,2391.54248046875
77,3129.159423828125,2780.548583984375,2954.85400390625
78,3181.14013671875,2045.3743896484375,2613.25732421875
79,3273.4013671875,2668.343017578125,2970.8720703125
80,2063.595947265625,2133.479248046875,2098.53759765625
81,2684.4541015625,3851.40185546875,3267.927978515625
82,3132.717529296875,3759.895263671875,3446.306396484375
83,3790.96337890625,3839.460205078125,3815.2119140625
84,3832.25537109375,3867.2294921875,3849.742431640625
85,969.7745971679688,3319.2412109375,2144.5078125
86,3262.154541015625,3868.3349609375,3565.24462890625
87,3725.079833984375,3748.155517578125,3736.61767578125
88,2655.0703125,3851.069580078125,3253.06982421875
89,1521.8665771484375,3299.51708984375,2410.69189453125
90,1406.0234375,3141.71728515625,2273.870361328125
91,2671.206787109375,3845.408203125,3258.3076171875
92,-136.00228881835938,3825.7490234375,1844.8734130859375
93,-146.01708984375,3843.73291015625,1848.85791015625
94,2622.39111328125,3853.49169921875,3237.94140625
95,450.5254211425781,3834.041748046875,2142.28369140625
96,1586.8240966796875,3828.058837890625,2707.44140625
